prescriber_specialty,n_prescribers,n_industry_paid,total_payment_usd,total_fills,brand_fills,paid_brand_fills,paid_expected_brand_fills,n_later_exclusions,share_industry_paid,brand_fill_share,paid_brand_oe_ratio,estimated_savings_usd
Critical Care (Intensivists),1000,616.0,2170599.1799999997,1488144.5000000002,670656.6000000001,489870.29999999993,416798.16013722017,2.0,0.616,0.4506663163422638,1.1753178081177773,2063895.2112490027
Hematopoietic Cell Transplantation and Cellular Therapy,105,61.0,2905765.6900000004,65643.8,15629.1,11783.7,6817.301742854972,0.0,0.580952380952381,0.23808950731066758,1.7284991107149064,444388.87848237134
Hematology,552,324.0,3112009.2699999996,449590.80000000005,110885.30000000002,72820.20000000001,70227.46158604714,0.0,0.5869565217391305,0.2466360521612097,1.036919153211541,87685.59732722801
Diagnostic Radiology,198,72.0,1050729.1800000002,208809.50000000006,56678.3,44159.3,38773.165796387366,0.0,0.36363636363636365,0.2714354471420122,1.1389139651865745,89960.21520948033
Gynecological Oncology,408,233.0,2015891.63,140040.80000000002,25640.600000000002,17705.0,14380.846853156625,0.0,0.571078431372549,0.18309378409720595,1.2311514183265027,13445.389325747527
Interventional Cardiology,3997,2667.0,23151469.08000002,27936785.899999987,5161134.300000004,3912784.2,3624087.7457040073,0.0,0.6672504378283712,0.18474331007419167,1.0796604482433445,96192.62501293876
Surgical Oncology,155,58.0,295362.89,43376.8,5642.4,3212.6,2110.953188509091,0.0,0.3741935483870968,0.13007875177514244,1.5218717390265637,-1630.338895407495
Hospice and Palliative Care,645,75.0,58182.45999999999,873860.5,95638.40000000001,32395.9,23421.459996508645,0.0,0.11627906976744186,0.10944355535008163,1.3831716726809151,-129726.1878914326
Sports Medicine,734,219.0,2059761.89,471401.89999999985,41069.79999999999,21050.399999999998,8781.450483830373,0.0,0.29836512261580383,0.08712268660775445,2.3971438475637847,8869.111078606438
Neuropsychiatry,880,308.0,859340.6299999999,850574.3999999998,93204.29999999999,48383.6,42513.48541870755,1.0,0.35,0.10957806865572255,1.1380765308578857,253335.3608097277
Orthopaedic Surgery,128,22.0,4529322.619999999,76089.8,5812.9,3441.6,2841.61263280895,0.0,0.171875,0.07639525928573869,1.211143264308323,-3266.3267483294626
Pathology,61,24.0,290340.19,84875.4,15530.4,4338.9,8085.679890410957,1.0,0.39344262295081966,0.18297881364918459,0.5366153568787242,-17536.52648607641
Oral & Maxillofacial Surgery,325,12.0,171073.24,120629.59999999999,10661.5,422.5,424.31906328988725,0.0,0.036923076923076927,0.08838212180095102,0.9957129824057787,-1.718895033135812
Counselor,27,7.0,2820.99,31951.1,3242.0,705.0,570.7214128526189,0.0,0.25925925925925924,0.10146755510764888,1.2352786913605023,-3111.3846279378254
Osteopathic Manipulative Medicine,347,156.0,292761.98999999993,1495746.9999999998,171427.5,123635.4,92955.37282139354,0.0,0.4495677233429395,0.1146099574326407,1.3300511444083574,289011.21296793857
Advanced Heart Failure and Transplant Cardiology,654,341.0,3895163.7699999996,2607474.1999999997,437471.9,270848.10000000003,219856.31124992468,0.0,0.5214067278287462,0.16777611836005896,1.2319323400823812,100478.3825367171
Cardiac Surgery,196,73.0,963999.8,349153.1,67436.1,41750.100000000006,38544.996325015614,0.0,0.37244897959183676,0.19314191969081762,1.0831522630838673,8709.42491091242
Peripheral Vascular Disease,44,21.0,142162.01,137583.5,32756.700000000004,24446.7,34295.19336543048,0.0,0.4772727272727273,0.2380859623428682,0.7128316711764702,1393.7631623912882
Pediatric Medicine,1178,482.0,1202857.1900000002,3277499.4,379597.6999999998,191774.00000000003,194327.4278285688,2.0,0.4091680814940577,0.11581930419270246,0.9868601779115744,-153470.1403681917
Oral Surgery (Dentist only),4059,140.0,3614801.1399999987,1575330.0999999985,135851.4,6980.200000000001,5561.53546781466,4.0,0.03449125400344913,0.08623678300820896,1.255085046278198,-836.1150877515872
Cardiology,17992,11224.0,42837757.77999991,136334027.29999983,23714311.999999985,17618127.299999975,16056626.686385622,10.0,0.6238328145842597,0.1739427233952181,1.0972496056683154,4620564.858472107
Endocrinology,5926,3437.0,27708944.54999999,33329145.500000015,14133251.0,10171976.399999997,9965205.08781972,5.0,0.5799865001687479,0.42405080562296427,1.0207493283237101,1135191.4399967142
Orthopedic Surgery,12508,3908.0,209981395.48000014,5975031.900000008,518699.7999999998,210815.80000000002,188086.22973944014,3.0,0.3124400383754397,0.08681121853090008,1.1208465409299109,62623.1682387983
Micrographic Dermatologic Surgery,272,171.0,459050.3000000001,163704.40000000002,7217.8,5458.3,4476.14531944099,0.0,0.6286764705882353,0.04409044595013939,1.2194197485710023,-1426.6913106666418
Interventional Pain Management,1393,929.0,4116273.2299999967,4203148.000000001,726184.3999999999,591853.0000000001,518081.5641582366,10.0,0.6669059583632448,0.17277155122779397,1.1423934780648393,-1347534.6170338753
Anesthesiology,2414,1313.0,4635240.929999997,4876457.300000003,810750.4999999999,617663.9999999999,506754.85371939937,9.0,0.543910521955261,0.16625809478532694,1.218861537223703,-180809.86685689763
Pain Management,2200,1304.0,5928376.0399999935,4963463.6,790519.7,614066.4,480209.02873410255,11.0,0.5927272727272728,0.1592677540739898,1.2787481352001315,-231116.12590500858
Addiction Medicine,235,91.0,145461.62999999995,325864.19999999995,82615.8,46131.1,80209.35823115826,2.0,0.3872340425531915,0.2535283102593044,0.5751336379858957,4971.557198674472
Vascular Surgery,2003,1043.0,8006667.119999999,890427.2000000001,512253.4,326218.8,295307.90407539083,1.0,0.5207189216175736,0.5752894790275949,1.1046734459119583,-3021.6253794144254
Certified Clinical Nurse Specialist,1439,766.0,628535.99,2741364.5999999996,391803.59999999986,253241.00000000006,216715.1064228572,2.0,0.532314107018763,0.1429228348538534,1.1685433663580105,-151680.32941197915
Interventional Radiology,140,74.0,3094697.28,113946.5,43435.299999999996,31242.399999999998,27264.607024793386,0.0,0.5285714285714286,0.3811902954456696,1.1458958484745208,113034.78414264148
Neurosurgery,1360,320.0,39696763.02,559839.5000000002,75254.4,29961.300000000003,22664.934483425484,1.0,0.23529411764705882,0.13442138327145542,1.3219230799855273,100181.78613396252
Family Medicine,347,66.0,44966.89,472153.1999999999,56652.2,14964.9,14705.24744924681,1.0,0.19020172910662825,0.11998690255620424,1.0176571357707067,-2753.9074466783677
Maxillofacial Surgery,692,25.0,379132.14999999997,318566.9,27525.500000000004,898.1,1180.850006888489,0.0,0.036127167630057806,0.08640414305441024,0.7605538339001002,-96.66608599036724
Undefined Physician type,105,56.0,499981.54000000004,226616.6,44460.4,34354.4,47870.27153302211,0.0,0.5333333333333333,0.19619215891510156,0.7176562592986646,-278918.3922667292
Undersea and Hyperbaric Medicine,45,18.0,43096.92,14194.7,2700.3,1385.4,1037.4657781306714,0.0,0.4,0.19023297427913236,1.3353693482750286,-47.3916307696434
Thoracic Surgery,309,111.0,3153595.03,188087.3,41565.09999999999,24496.899999999998,19183.213456915477,1.0,0.3592233009708738,0.22098833892559464,1.276996685410335,101385.47312601423
Plastic Surgery,66,37.0,301267.86000000004,12925.3,2043.5,1186.5,999.6848977539389,0.0,0.5606060606060606,0.15810077909216808,1.1868739866589877,-436.89367688592796
Neurological Surgery,21,5.0,51772.78,9426.9,1376.3,845.1,761.7766531539675,0.0,0.23809523809523808,0.1459970934241373,1.10938028423561,8488.209568094948
"Psychologist, Clinical",100,11.0,15511.78,133801.8,14239.2,1615.9,928.8432849474486,0.0,0.11,0.10642009300323316,1.7396906735364117,-2501.250245363264
Clinic/Center,49,6.0,1079.8400000000001,112418.6,10784.9,1076.2,1634.9154347206756,0.0,0.12244897959183673,0.09593519221908117,0.6582603461590466,-1810.026183768992
Certified Registered Nurse Anesthetist (CRNA),49,26.0,7078.63,39918.0,3791.5,2011.8,1838.5447439188358,0.0,0.5306122448979592,0.0949822135377524,1.094234995723777,-1750.1871335228152
Personal Emergency Response Attendant,12,4.0,75.79,14905.6,1901.1000000000001,78.9,120.05405492337094,1.0,0.3333333333333333,0.12754266852726492,0.6572039574203548,-5.269327235461787
Dental Hygienist,41,0.0,0.0,7019.4,6915.9,0.0,0.0,0.0,0.0,0.9852551500128216,,0.0
Ophthalmology,16517,10578.0,39001344.83,40010630.2,13212873.000000011,10023054.5,7875471.516625208,5.0,0.6404310710177393,0.3302340636464159,1.272692622764392,955583.2136670107
Nurse Practitioner,130497,72387.0,54581037.63000002,307389024.69999856,38193787.79999983,25377107.799999874,21426628.308425903,62.0,0.554702406951884,0.1242522820626914,1.184372428303172,2813464.2846826203
Student in an Organized Health Care Education/Training Program,10001,1090.0,663324.3900000004,3835437.8999999994,376850.0999999999,52262.700000000004,41500.70707342606,0.0,0.10898910108989102,0.09825477815714341,1.259320712476851,44536.92134778836
Dentist,23217,1303.0,7653522.840000009,4882824.100000013,302637.80000000005,19729.1,16990.02293457207,20.0,0.05612266873411724,0.06198007419517718,1.161216796232472,-2.581716232195766
Pulmonary Disease,8086,5460.0,22031001.09000001,17956712.5,8208949.100000011,6456796.900000004,6233544.928066247,1.0,0.6752411575562701,0.4571521151212958,1.035814608623189,8991502.210855635
Gastroenterology,12569,8549.0,25405399.34000001,17875418.099999983,3178071.000000001,2448769.099999999,2323623.710022869,3.0,0.6801654865144403,0.17779002327223908,1.053857855485516,1648976.146466996
Neurology,11693,7402.0,70480093.01999995,30625090.799999963,4269604.000000006,3362137.2,3007701.17849664,6.0,0.6330283075344223,0.1394152274644035,1.1178428309425739,47668778.48149429
Dermatology,10866,7513.0,37576097.64999997,8760880.699999996,900967.3999999994,650368.5999999999,647764.6429701267,1.0,0.6914227866740291,0.10283982065866962,1.0040199122600046,-61110.246677399235
Podiatry,8258,3608.0,18384557.670000024,3665159.999999998,475294.19999999984,216693.60000000003,221118.35636477981,9.0,0.43690966335674497,0.12967897717971386,0.9799891947573984,192132.21842947532
General Surgery,5154,1990.0,10816894.599999994,2601990.6999999993,409062.8999999999,228305.0,211226.38485259312,5.0,0.38610787737679475,0.1572115150142543,1.080854554033699,-30928.93828029191
Allergy/ Immunology,3112,2370.0,16914898.210000005,3715460.199999999,904545.1000000001,720805.3,730833.9986121112,1.0,0.7615681233933161,0.24345439092578636,0.9862777338887406,-140243.4507350589
Medical Oncology,2660,1695.0,16455110.359999988,2816300.7999999993,475640.29999999993,351918.99999999994,307092.7251710652,0.0,0.6372180451127819,0.16888831619122505,1.1459698363221218,3952419.115213181
Clinical Cardiac Electrophysiology,2242,1255.0,14522709.989999998,8267155.899999997,2548299.5999999996,1655849.0000000005,1703279.8255843404,0.0,0.5597680642283676,0.3082438060712029,0.9721532393727097,-160917.74734546317
Sleep Medicine,375,203.0,664549.4999999999,333377.80000000005,79332.70000000001,59783.3,51213.94656357808,0.0,0.5413333333333333,0.23796635528820456,1.167324606116495,43159.46209549534
Pain Medicine,49,14.0,51895.35999999999,76664.4,8517.0,3480.2,2596.09414743199,0.0,0.2857142857142857,0.11109458888349744,1.3405523075665615,-3725.4351600216655
Geriatric Psychiatry,160,44.0,162652.57000000004,458782.5,36968.2,13875.5,13420.512343909566,0.0,0.275,0.08057892356399818,1.0339024058419732,26397.046967047532
Licensed Practical Nurse,14,7.0,1832.82,42138.00000000002,5244.0,2235.7999999999997,1581.9820156985656,0.0,0.5,0.12444824149223972,1.413290402680541,12202.9749831629
Family Practice,90385,37020.0,36476821.06000003,668201426.2999997,66456198.499999985,38876440.89999996,34441279.92003038,135.0,0.40958123582452843,0.09945533769358256,1.1287745690714062,3309704.2782675084
Internal Medicine,79971,33642.0,46812679.05999996,626648807.6999991,70328856.99999994,42707222.50000005,35788782.65944886,89.0,0.4206774955921522,0.11223009784081336,1.1933130809836194,16751529.710876722
Hospitalist,6192,2006.0,693348.5700000001,5924219.500000002,858664.8000000007,353516.3,356423.0820423851,0.0,0.32396640826873385,0.1449414222413603,0.9918445740782875,-376060.7640398242
Psychiatry & Neurology,5794,1850.0,9340185.350000005,5745793.099999995,653125.9000000004,318435.39999999997,277350.1622833911,8.0,0.31929582326544703,0.1136702781727384,1.1481348969777372,371081.5771962379
Nephrology,8231,5188.0,11708027.589999992,22012663.700000007,1499643.999999999,1181336.0999999999,823736.4369651703,1.0,0.6303000850443445,0.06812642124723864,1.4341190300532376,10309773.506894978
Emergency Medicine,12022,2652.0,1484622.289999999,8892888.100000005,1357801.7999999998,559634.9,750442.964917794,16.0,0.22059557477957079,0.15268400824699446,0.7457394181332678,-106376.0466006794
Naturopath,224,2.0,181.51,89164.3,15695.7,77.4,87.74881506102525,0.0,0.008928571428571428,0.17603121428643526,0.8820631930604632,-63.51370669954333
Urology,9039,6102.0,23551183.87999999,24758076.10000001,2582389.1999999993,2106690.3999999994,1673578.4547523013,2.0,0.6750746764022569,0.10430492214215298,1.2587939298679613,4342659.512959382
Registered Nurse,299,147.0,213281.90999999997,461121.70000000007,56475.59999999999,34592.3,30603.608046299745,0.0,0.4916387959866221,0.12247439233503864,1.130334042563407,-79993.77430888882
Otolaryngology,6852,3594.0,6517885.789999998,5623197.399999995,440263.40000000014,214467.5,248478.0126467926,6.0,0.5245183887915937,0.07829413920272486,0.8631246592625562,-5257.141329715558
Physical Medicine and Rehabilitation,5313,1988.0,4535523.660000002,6790784.299999996,912601.8999999997,602187.2999999998,413296.8072566126,10.0,0.37417654808959155,0.13438829149675688,1.457033515446701,674901.4963190402
Preventive Medicine,249,76.0,89629.79000000001,427960.29999999993,131722.9,18048.4,36282.201885810835,2.0,0.30522088353413657,0.3077923349432179,0.4974450022852205,83315.13395270868
Specialist,482,156.0,461803.3199999999,665720.6000000002,135258.29999999996,55016.100000000006,59578.90995731559,3.0,0.3236514522821577,0.20317577674477838,0.9234156858427832,68171.82831589639
Hematology-Oncology,7437,5193.0,37261291.899999954,8982050.299999991,1741523.4,1356399.2999999996,1219666.274026161,3.0,0.6982654296087132,0.1938892949642023,1.1121069171835654,7540538.448330083
Radiation Oncology,1371,505.0,1406346.6099999992,510351.59999999986,140767.7,12803.400000000001,29476.495470060923,1.0,0.36834427425237054,0.275824941079836,0.434359641328608,264521.4111532869
Colorectal Surgery (Proctology),662,320.0,2218902.68,172277.60000000003,64110.69999999999,37741.100000000006,37986.22854012397,0.0,0.48338368580060426,0.37213601768308807,0.9935469103002673,-6517.163776722594
Hand Surgery,704,241.0,1677667.6000000003,177649.10000000006,20332.2,7950.7,7786.23601806294,0.0,0.34232954545454547,0.11445146640202508,1.021122398750247,-711.8554364754009
Certified Nurse Midwife,246,129.0,33593.13,118437.0,18941.8,10065.900000000001,10020.266648019884,0.0,0.524390243902439,0.15993144034381146,1.0045541055525837,-969.8890081662994
Adult Congenital Heart Disease,24,4.0,84291.01000000001,29495.100000000002,4800.6,643.8,606.8621782916823,0.0,0.16666666666666666,0.1627592379751213,1.0608669036061822,-10956.787559695691
Legal Medicine,31,9.0,1746.27,158072.6,19377.600000000006,10008.9,7153.375599021353,0.0,0.2903225806451613,0.12258671015723158,1.3991855818907801,-71169.0847670977
Nuclear Medicine,55,26.0,109472.41,290476.5,46023.799999999996,30453.899999999998,23847.059059070227,0.0,0.4727272727272727,0.1584424213318461,1.2770505547272866,8906.355417039673
Clinic or Group Practice,16,6.0,4063.23,43777.3,3951.5,2584.2,2396.7989994969194,0.0,0.375,0.09026367546650889,1.078188033515708,-1042.8099482765622
General Acute Care Hospital,15,3.0,815.3999999999999,8539.3,763.9,383.0,649.4859631894066,0.0,0.2,0.08945698125139064,0.5896971169618758,-149.9994171914678
Surgery,13,4.0,142959.25000000003,3920.5,681.1,140.0,132.91291444614598,0.0,0.3076923076923077,0.17372784083662798,1.0533212711750866,-80.08610724505492
